Name,contract_id,Total,APY,APY%,Guarantee,contract_type,year_signed,Position,year,base_salary,contract_year_1,contract_year_2,player_id,position_y1,unit_y1,offense_y1,pass_block_y1,run_block_y1,receiving_y1,pass_y1,run_y1,defense_y1,coverage_y1,pass_rush_y1,run_defense_y1,player_y1,year_in_league_y1,season_count_y1,war_y1,waa_y1,height_y1,weight_y1,total_alignments_played_y1,total_positions_played_y1,total_snap_count_y1,weeks_played_y1,snap_count_per_week_played_y1,HB_total_snaps_y1,WR_total_snaps_y1,SWR_total_snaps_y1,QB_total_snaps_y1,LT_total_snaps_y1,LG_total_snaps_y1,C_total_snaps_y1,RG_total_snaps_y1,RT_total_snaps_y1,FB_total_snaps_y1,TE_total_snaps_y1,LED_total_snaps_y1,RED_total_snaps_y1,LID_total_snaps_y1,RID_total_snaps_y1,NT_total_snaps_y1,LB_total_snaps_y1,SCB_total_snaps_y1,CB_total_snaps_y1,FS_total_snaps_y1,SS_total_snaps_y1,main_position_y1,position_y2,unit_y2,offense_y2,pass_block_y2,run_block_y2,receiving_y2,pass_y2,run_y2,defense_y2,coverage_y2,pass_rush_y2,run_defense_y2,player_y2,year_in_league_y2,season_count_y2,war_y2,waa_y2,height_y2,weight_y2,total_alignments_played_y2,total_positions_played_y2,total_snap_count_y2,weeks_played_y2,snap_count_per_week_played_y2,HB_total_snaps_y2,WR_total_snaps_y2,SWR_total_snaps_y2,QB_total_snaps_y2,LT_total_snaps_y2,LG_total_snaps_y2,C_total_snaps_y2,RG_total_snaps_y2,RT_total_snaps_y2,FB_total_snaps_y2,TE_total_snaps_y2,LED_total_snaps_y2,RED_total_snaps_y2,LID_total_snaps_y2,RID_total_snaps_y2,NT_total_snaps_y2,LB_total_snaps_y2,SCB_total_snaps_y2,CB_total_snaps_y2,FS_total_snaps_y2,SS_total_snaps_y2,main_position_y2
Wes Welker,8670,12000000,6000000,0.048780488,6000000,UFA,2013,WR,2013.0,2000000.0,2012,2011,2204,WR,offense,79.25238095238095,64.9,67.6,78.6952380952381,,67.55,,,,,Wes Welker,8.0,7.0,0.375,0.11740990990991,509.0,185.0,14.0,5.0,1236.0,18.0,68.66666666666667,5.0,293.0,932.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SWR,WR,offense,89.0904761904762,65.9,78.15714285714286,88.54285714285714,,64.8578947368421,,,,,Wes Welker,7.0,6.0,0.536,0.27440990990991,509.0,185.0,8.0,4.0,1211.0,19.0,63.73684210526316,14.0,395.0,801.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SWR
Brandon Gibson,7900,9780000,3260000,0.026504065,3750000,UFA,2013,WR,2013.0,750000.0,2012,2011,5118,WR,offense,76.52380952380952,,67.2,77.33333333333333,,,,,,,Brandon Gibson,4.0,3.0,0.274,0.10540990990991,600.0,210.0,8.0,3.0,794.0,16.0,49.625,0.0,736.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,WR,offense,66.75714285714287,66.8,85.36190476190475,64.28571428571429,,67.4375,,,,,Brandon Gibson,3.0,2.0,0.041,-0.0935900900900901,600.0,210.0,5.0,3.0,609.0,15.0,40.6,5.0,480.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Greg Jennings,8699,45000000,9000000,0.073170732,12900000,UFA,2013,WR,2013.0,2900000.0,2012,2011,2997,WR,offense,64.18095238095238,,59.95238095238095,64.58095238095238,,,,,,,Greg Jennings,7.0,6.0,0.152,0.0274099099099099,511.0,197.0,8.0,2.0,531.0,10.0,53.1,0.0,293.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,WR,offense,79.87619047619049,,65.63809523809525,79.79523809523809,,,,,,,Greg Jennings,6.0,5.0,0.314,0.13940990990991,511.0,197.0,4.0,2.0,713.0,14.0,50.92857142857143,0.0,375.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Ted Ginn,8772,1100000,1100000,0.008943089,300000,UFA,2013,WR,2013.0,750000.0,2012,2011,3625,WR,offense,57.56666666666667,,66.11111111111111,58.78823529411765,,56.7,,,,,Ted Ginn Jr.,6.0,5.0,0.013,-0.00259009009009,511.0,180.0,8.0,4.0,101.0,14.0,7.214285714285714,5.0,79.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,WR,offense,62.671428571428564,,60.87142857142857,61.46666666666666,,69.86190476190475,,,,,Ted Ginn Jr.,5.0,4.0,0.056,-0.0315900900900901,511.0,180.0,4.0,2.0,392.0,15.0,26.133333333333333,0.0,321.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Darrius Heyward-Bey,8554,2500000,2500000,0.020325203,1500000,SFA,2013,WR,2013.0,1000000.0,2012,2011,4930,WR,offense,68.91428571428571,25.09,76.27619047619048,66.68095238095238,,68.85000000000001,,,,,Darrius Heyward-Bey,4.0,3.0,0.114,-0.0655900900900901,602.0,210.0,16.0,6.0,826.0,15.0,55.06666666666667,2.0,632.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,WR,offense,72.5,,60.92380952380953,72.23809523809524,,,,,,,Darrius Heyward-Bey,3.0,2.0,0.216,0.0524099099099099,602.0,210.0,5.0,3.0,814.0,15.0,54.266666666666666,5.0,777.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Julian Edelman,22232,765000,765000,0.006219512,0,UFA,2013,WR,2013.0,715000.0,2012,2011,5156,WR,offense,62.209523809523816,,72.51428571428572,62.96666666666666,,53.63157894736842,,,,,Julian Edelman,4.0,3.0,0.043,-0.0225900900900901,510.0,198.0,11.0,4.0,302.0,9.0,33.55555555555556,4.0,235.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,WR,offense,60.166666666666664,,66.95714285714286,57.828571428571436,,62.39473684210526,59.475,63.64166666666667,65.64,51.89166666666667,Julian Edelman,3.0,2.0,0.065,0.0044099099099099,510.0,198.0,10.0,6.0,306.0,16.0,19.125,7.0,75.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,1.0,0.0,23.0,SCB
Andrew Hawkins,12417,555000,555000,0.004512195,0,ERFA,2013,WR,2013.0,555000.0,2012,2011,6125,WR,offense,72.70476190476191,,66.9095238095238,70.85238095238095,,74.8,,,,,Andrew Hawkins,2.0,1.0,0.114,-0.0285900900900901,507.0,175.0,12.0,5.0,575.0,15.0,38.333333333333336,5.0,84.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SWR,WR,offense,84.93333333333334,,71.58888888888889,81.48333333333333,,70.84285714285714,,,,,Andrew Hawkins,1.0,0.0,0.138,0.0834099099099099,507.0,175.0,5.0,3.0,208.0,14.0,14.857142857142858,1.0,28.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SWR
Kris Durham,8817,555000,555000,0.004512195,0,ERFA,2013,WR,2013.0,555000.0,2012,2011,6259,WR,offense,61.45,,65.9625,60.275,,,,,,,Kris Durham,2.0,1.0,0.026,-0.0245900900900901,605.0,215.0,5.0,3.0,224.0,4.0,56.0,0.0,217.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,WR,offense,68.275,,60.17,69.58500000000001,,,,,,,Kris Durham,1.0,0.0,0.01,0.0024099099099099,605.0,215.0,4.0,2.0,35.0,3.0,11.666666666666666,0.0,32.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Davone Bess,1446,8817000,2939000,0.023894309,5750334,Extension,2013,WR,2013.0,2683334.0,2012,2011,4694,WR,offense,73.97619047619048,,73.94285714285714,72.70952380952382,,,,,,,Davone Bess,5.0,4.0,0.208,0.0514099099099099,510.0,190.0,10.0,3.0,760.0,13.0,58.46153846153846,0.0,320.0,437.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SWR,WR,offense,59.061904761904756,,57.77142857142857,59.08095238095238,,59.7,,,,,Davone Bess,4.0,3.0,0.029,-0.10759009009009,510.0,190.0,5.0,3.0,562.0,16.0,35.125,1.0,110.0,451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SWR
Victor Cruz,7424,43000000,8600000,0.069918699,15625000,Extension,2013,WR,2013.0,630000.0,2012,2011,5827,WR,offense,75.0,68.1,59.31428571428571,76.11428571428571,,,,,,,Victor Cruz,3.0,2.0,0.256,0.0604099099099099,601.0,200.0,12.0,4.0,918.0,16.0,57.375,0.0,381.0,529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SWR,WR,offense,74.15238095238095,,58.30499999999999,74.44285714285714,,59.9,,,,,Victor Cruz,2.0,1.0,0.386,0.14640990990991,601.0,200.0,5.0,3.0,1051.0,20.0,52.55,0.0,416.0,634.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SWR
