Name,Team,pff_id,pff_franchise_id,ID,player_id,team_id,Position,Role,Years,date_signed,year_signed,start_year,Total,APY,Guarantee,GPY,GP,total_guarantees,vested_guarantees,signing_bonus,option_bonus,roster_bonus,pergame_bonus,workout_bonus,incentives,FA,Status,is_featured,is_front,contract_type,ID2
Ethan Pocic,Seahawks,11813,29,58,5644,32,LG,Offense,4,6/9/2017,2017,2017,4409034,1102259,2410438,0,0.00%,2410438,0,1346568,0,0,0,0,0,,Active,,0,Drafted,0
Tanoh Kpassagnon,Chiefs,11814,16,59,5645,14,43DE,Defense,4,6/7/2017,2017,2017,4321218,1080305,2303296,575824,53.30%,2303296,0,1282704,0,0,0,75000,0,2021,Active,,0,Drafted,0
Chidobe Awuzie,Cowboys,11815,9,60,5646,18,CB,Defense,4,5/12/2017,2017,2017,4283580,1070895,1740217,0,0.00%,1740217,0,1255332,0,0,0,0,0,,Active,,,Drafted,
JuJu Smith-Schuster,Steelers,11817,25,62,5648,8,WR,Offense,4,5/17/2017,2017,2017,4195778,1048945,1984476,496119,47.30%,1984476,0,1191476,0,0,0,0,0,2021,Active,,0,Drafted,0
Taylor Moton,Panthers,11819,5,64,5650,26,RT,Offense,4,5/5/2017,2017,2017,4158150,1039538,1877633,469408,45.20%,1877633,0,1164108,0,0,0,0,0,2021,Active,,0,Drafted,0
Larry Ogunjobi,Browns,11820,8,65,5651,6,43DT,Defense,4,5/18/2017,2017,2017,3907152,976788,981564,0,0.00%,981564,0,981564,0,0,0,0,0,,Active,,0,Drafted,0
Ahkello Witherspoon,49ers,11821,28,66,5652,31,CB,Defense,4,5/11/2017,2017,2017,3884665,971166,973572,0,0.00%,973572,0,973572,0,0,0,0,0,,Active,,0,Drafted,0
Dawuane Smoot,Jaguars,11823,15,68,5654,11,43DE,Defense,4,6/16/2017,2017,2017,3846263,961566,964160,241040,25.10%,964160,0,964160,0,0,0,0,0,2021,Active,,0,Drafted,0
Pat Elflein,Vikings,11825,18,70,5656,24,LG,Offense,4,5/29/2017,2017,2017,3747840,936960,936840,0,0.00%,936840,0,936484,0,0,0,0,0,,Active,,,Drafted,
Dan Feeney,Chargers,11826,27,71,5657,15,C,Offense,4,6/2/2017,2017,2017,3731632,932908,924632,0,0.00%,924632,0,924632,0,0,0,0,0,,Active,,,Drafted,
Alex Anzalone,Saints,11831,20,76,5662,27,43OLB,Defense,4,6/2/2017,2017,2017,3465592,866398,864592,0,0.00%,864592,0,864592,0,0,0,0,0,,Active,,0,Drafted,0
Fabian Moreau,Football Team,11836,32,81,5667,20,CB,Defense,4,5/25/2017,2017,2017,3339392,834848,825392,0,0.00%,825392,0,825392,0,0,0,0,0,,Active,,0,Drafted,0
Derek Rivers,Patriots,11838,19,83,5669,2,43DE,Defense,4,6/8/2017,2017,2017,3304896,826224,802896,0,0.00%,802896,0,802896,0,0,0,102000,0,,Active,,,Drafted,
