Name,Team,pff_id,pff_franchise_id,ID,player_id,contract_id,team_id,Position,Role,Year,BS,PB,RB,PGRB,WO,OB,option_bonus,restructure_bonus,CP,DM,CS,GBS,VGBS,Notes,CshBns,Cshpay,Cshtocp,tb,initial_cash,old_money,cash_dead,Status,contract_type,provisional,credits,is_split_salary
John Brannon,Bengals,43000,7,74010,9076,35739,7,CB,Defense,2022,705000,0,0,0,0,0,0,0,705000,0,0,0,0,,0,705000,0,,705000,0,0,Active,SFA,,0,1
Jake Browning,Bengals,46401,7,74011,8189,35740,7,QB,Offense,2022,705000,0,0,0,0,0,0,0,705000,0,0,0,0,,0,705000,0,,705000,0,0,Active,SFA,,0,1
Elijah Holyfield,Bengals,40065,7,74012,8403,35741,7,RB,Offense,2022,705000,0,0,0,0,0,0,0,705000,0,0,0,0,,0,705000,0,,705000,0,0,Active,SFA,,0,1
Thaddeus Moss,Bengals,47191,7,74013,9422,35742,7,TE,Offense,2022,705000,0,0,0,0,0,0,0,705000,0,0,0,0,,0,705000,0,,705000,0,0,Active,SFA,,0,1
Austin Proehl,Giants,48223,21,74014,7140,35743,17,WR,Offense,2022,705000,0,0,0,0,0,0,0,705000,0,0,0,0,,0,705000,0,,705000,0,0,Active,SFA,,0,1
Pooka Williams Jr.,Bengals,77771,7,74015,9768,35744,7,RB,Offense,2022,705000,0,0,0,0,0,0,0,705000,0,0,0,0,,0,705000,0,,705000,0,0,Active,SFA,,0,1
Scotty Washington,Bengals,47964,7,74016,9106,35745,7,WR,Offense,2022,705000,0,0,0,0,0,0,0,705000,0,0,0,0,,0,705000,0,,705000,0,0,Active,SFA,,0,1
Earnest Brown IV,Rams,56428,26,74017,9638,35746,30,EDGE,Defense,2022,705000,0,0,0,0,0,0,0,705000,0,0,0,0,,0,705000,0,,705000,0,0,Active,SFA,,0,1
Willie Wright,Bears,46989,6,74019,8210,35748,21,RG,Offense,2022,705000,0,0,0,0,0,0,0,705000,0,0,0,0,,0,705000,0,,705000,0,0,Active,SFA,,0,1
Jason Cabinda,Lions,50714,11,74020,7371,35749,22,FB,Offense,2022,1035000,500000,0,0,0,0,0,0,1535000,0,0,1035000,0,,1000000,2035000,0,,2035000,0,0,Active,RFA,,0,0
Jason Cabinda,Lions,50714,11,74021,7371,35749,22,FB,Offense,2023,1900000,500000,0,100000,0,65000,0,0,2565000,0,0,0,0,,0,2065000,0,,2065000,0,0,Active,RFA,,0,0
Cre'Von LeBlanc,Raiders,11218,23,74022,5226,35750,16,CB,Defense,2022,1035000,15000,0,0,25000,0,0,0,935000,0,0,0,0,,15000,1075000,0,,1075000,0,0,Active,SFA,,0,1
River Cracraft,Dolphins,47417,17,74023,6437,35751,3,WR,,2022,965000,0,0,0,0,0,0,0,965000,0,0,0,0,,0,965000,0,,965000,0,0,Active,SFA,,0,1
Josh Malone,Titans,11883,31,74024,5714,35752,12,WR,Offense,2022,965000,0,0,0,0,0,0,0,965000,0,0,0,0,,0,965000,0,,965000,0,0,Active,SFA,,0,1
Trent Taylor,Bengals,11932,7,74025,5763,35753,7,WR,Offense,2022,1035000,25000,50000,0,25000,0,0,0,1135000,0,0,0,0,,25000,1135000,0,,1135000,0,0,Active,SFA,,0,1
Jordan Meredith,Raiders,60235,23,74027,9962,35755,16,C,Offense,2022,705000,0,0,0,0,0,0,0,705000,0,0,0,0,,0,705000,0,,705000,0,0,Active,SFA,,0,1
John Lovett,Dolphins,94371,17,74028,8233,35756,3,TE,Offense,2022,825000,0,0,0,0,0,0,0,825000,0,0,0,0,,0,825000,0,,825000,0,0,Active,SFA,,0,1
Albert Huggins,Saints,36862,20,74029,8329,35757,27,DT,Special,2022,895000,0,0,0,0,0,0,0,895000,0,0,0,0,,0,895000,0,,895000,0,0,Active,ERFA,,0,0
Noah Dawkins,Bears,35771,6,74031,8554,35759,21,LB,Defense,2022,895000,0,0,0,0,0,0,0,895000,0,0,0,0,,0,895000,0,,895000,0,0,Active,SFA,,0,1
Chris Myarick,Giants,47358,21,74033,8252,35761,17,TE,Offense,2022,895000,0,0,0,0,0,0,0,895000,0,0,0,0,,0,895000,0,,895000,0,0,Active,SFA,,0,1
Kenny Clark,Packers,10661,12,74034,4739,27486,23,DT,Defense,2025,0,2723000,0,0,0,0,0,0,5446000,0,0,0,0,,0,0,0,,0,0,0,Active,Extension,Void,0,0
Kenny Clark,Packers,10661,12,74035,4739,27486,23,DT,Defense,2026,0,2723000,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,Active,Extension,Void,0,0
Jon Weeks,Texans,5800,13,74036,1671,35762,9,LS,Special,2022,1120000,152500,0,0,0,0,0,0,1047500,0,0,895000,0,,152500,1272500,0,,1272500,0,0,Active,UFA,,0,0
Justin Lawler,Titans,50592,31,74037,7129,35763,12,EDGE,Defense,2022,895000,0,0,0,0,0,0,0,895000,0,0,0,0,,0,895000,0,,895000,0,0,Active,SFA,,0,1
Marvell Tell III,Colts,49217,14,74038,7935,35764,10,CB,Defense,2022,825000,0,0,0,0,0,0,0,825000,0,0,0,0,,0,825000,0,,825000,0,0,Active,SFA,,0,1
Cornell Powell,Chiefs,40689,16,74039,9645,35765,14,WR,Offense,2022,705000,0,0,0,0,0,0,0,705000,0,0,0,0,,0,705000,0,,705000,0,0,Active,SFA,,0,1
Devon Key,Chiefs,56307,16,74040,9817,35766,14,S,Defense,2022,705000,0,0,0,0,0,0,0,705000,0,0,0,0,,0,705000,0,,705000,0,0,Active,SFA,,0,1
Austin Edwards,Chiefs,89210,16,74041,9003,35767,14,EDGE,Defense,2022,705000,0,0,0,0,0,0,0,705000,0,0,0,0,,0,705000,0,,705000,0,0,Active,SFA,,0,1
Jake Luton,Jaguars,17287,15,74042,8929,35768,11,QB,Offense,2022,895000,0,0,0,0,0,0,0,895000,0,0,0,0,,0,895000,0,,895000,0,0,Active,SFA,,0,1
Nikola Kalinic,Colts,156095,14,74043,10041,35769,10,TE,Offense,2022,705000,0,0,0,0,0,0,0,705000,0,0,0,0,,0,705000,0,,705000,0,0,Active,UDFA,,0,1
Nikola Kalinic,Colts,156095,14,74044,10041,35769,10,TE,Offense,2023,870000,0,0,0,0,0,0,0,870000,0,0,0,0,,0,870000,0,,870000,0,0,Active,UDFA,,0,1
Nikola Kalinic,Colts,156095,14,74045,10041,35769,10,TE,Offense,2024,985000,0,0,0,0,0,0,0,985000,0,0,0,0,,0,985000,0,,985000,0,0,Active,UDFA,,0,0
Josh Woods,Lions,49023,11,74046,7670,35770,22,LB,Defense,2022,1200000,250000,0,100000,0,0,0,0,1526471,0,0,500000,0,,250000,1550000,0,,1550000,0,0,Active,RFA,,0,0
Juwan Johnson,Saints,28305,20,74047,9380,35771,27,WR,Offense,2022,895000,0,0,0,0,0,0,0,895000,0,0,0,0,,0,895000,0,,895000,0,0,Active,ERFA,,0,1
Aaron Jones,Packers,11937,12,74048,5768,30780,23,RB,Offense,2025,0,763000,0,0,0,0,0,0,1526000,0,0,0,0,,0,0,0,,0,0,0,Active,UFA,Void,0,0
Aaron Jones,Packers,11937,12,74049,5768,30780,23,RB,Offense,2026,0,763000,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,Active,UFA,Void,0,0
Michael Thomas,Saints,10681,20,74050,4760,23218,27,WR,Offense,2025,0,2913000,0,0,0,0,0,0,5826000,0,0,0,0,,0,0,0,,0,0,0,Active,Extension,Void,0,0
Michael Thomas,Saints,10681,20,74051,4760,23218,27,WR,Offense,2026,0,2913000,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,Active,Extension,Void,0,0
Jack Conklin,Browns,10642,8,74054,4721,35772,6,RT,Offense,2022,8000000,3000000,0,0,0,0,0,0,11000000,0,0,8000000,0,,0,8000000,0,,8000000,0,0,Active,Other,,0,0
Jack Conklin,Browns,10642,8,74055,4721,35772,6,RT,Offense,2023,0,3000000,0,0,0,0,0,0,6000000,0,0,0,0,,0,0,0,,0,0,0,Active,Other,Void,0,0
Jack Conklin,Browns,10642,8,74056,4721,35772,6,RT,Offense,2024,0,3000000,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,Active,Other,Void,0,0
Andrus Peat,Saints,9446,20,74057,3861,26266,27,LG,Offense,2025,0,1946000,0,0,0,0,0,0,3892000,0,0,0,0,,0,0,0,,0,0,0,Active,UFA,Void,0,0
Andrus Peat,Saints,9446,20,74058,3861,26266,27,LG,Offense,2026,0,1946000,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,Active,UFA,Void,0,0
Renell Wren,Eagles,48953,24,74059,7916,35826,19,DT,Defense,2022,825000,15000,0,0,10000,0,0,0,850000,0,0,0,0,,15000,850000,0,,850000,0,0,Active,SFA,,0,1
Tae Davis,Texans,26296,13,74060,7364,35827,9,LB,Defense,2022,965000,50000,0,0,50000,0,0,0,1065000,0,0,100000,0,,50000,1065000,0,,1065000,0,0,Active,UFA,,0,1
Tony Jefferson,Ravens,8361,3,74061,2508,35828,5,S,Defense,2022,1120000,152500,0,0,0,0,0,0,1047500,0,0,0,0,,152500,1272500,0,,1272500,0,0,Active,UFA,,0,1
Siran Neal,Bills,27130,4,74062,7039,35829,1,CB,Defense,2022,1300000,533333,0,340000,100000,0,0,0,2273333,0,0,1300000,0,,1600000,3340000,0,,3340000,0,0,Active,UFA,,0,0
Siran Neal,Bills,27130,4,74063,7039,35829,1,CB,Defense,2023,1940000,533333,400000,340000,100000,0,0,0,3313333,0,0,0,0,400k inj only,0,2780000,0,,2780000,0,0,Active,UFA,,0,0
Siran Neal,Bills,27130,4,74064,7039,35829,1,CB,Defense,2024,2440000,533334,0,340000,100000,0,0,0,3413334,0,0,0,0,,0,2880000,0,,2880000,0,0,Active,UFA,,0,0
Warren Jackson,Rams,52050,26,74065,9806,35830,30,WR,Offense,2022,705000,0,0,0,0,0,0,0,705000,0,0,0,0,,0,705000,0,,705000,0,0,Active,SFA,,0,1
Warren Jackson,Rams,52050,26,74066,9806,35830,30,WR,Offense,2023,870000,0,0,0,0,0,0,0,870000,0,0,0,0,,0,870000,0,,870000,0,0,Active,SFA,,0,1
Andrew Billings,Raiders,10756,23,74067,4835,35831,16,DT,Defense,2022,1035000,0,117500,0,35000,0,0,0,1047500,0,0,0,0,,0,1187500,0,,1187500,0,0,Active,SFA,,0,1
Jalen Davis,Bengals,50431,7,74068,7222,35832,7,CB,Defense,2022,1035000,0,0,0,0,0,0,0,895000,0,0,0,0,,0,1035000,0,,1035000,0,0,Active,ERFA,,0,0
Joe Thomas,Bears,9272,6,74069,3376,35833,21,LB,Defense,2022,1120000,0,0,0,0,0,0,0,895000,0,0,0,0,,0,1120000,0,,1120000,0,0,Active,SFA,,0,1
Tyler Shatley,Jaguars,9257,15,74070,3420,35834,11,C,Offense,2022,1350000,500000,0,200000,100000,0,0,0,2150000,0,0,1350000,0,,1000000,2650000,0,,2650000,0,0,Active,UFA,,0,0
Tyler Shatley,Jaguars,9257,15,74071,3420,35834,11,C,Offense,2023,1850000,500000,0,200000,100000,0,0,0,2650000,0,0,0,0,,0,2150000,0,,2150000,0,0,Active,UFA,,0,0
Harvey Langi,Patriots,50118,19,74072,6131,35835,2,LB,Defense,2022,1035000,75000,32500,42500,0,0,0,0,1020000,0,0,0,0,preseasonsplit;1stgameRB,75000,1185000,0,,1185000,0,0,Active,UFA,,0,1
Orlando Brown,Chiefs,46227,16,74073,6968,35836,14,LT,Offense,2022,16662000,0,0,0,0,0,0,0,16662000,0,0,0,0,,0,16662000,0,,16662000,0,0,Active,Franchise,,0,0
Davion Davis,Texans,33158,13,74074,8190,35837,9,WR,Offense,2022,895000,0,0,0,0,0,0,0,895000,0,0,0,0,,0,895000,0,,895000,0,0,Active,ERFA,,0,1
